"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"282","Dylan Larkin","DET","C","60","1199.7666666667","24","29","20","9","53","61.63","190","12.63","26.39","373","279","197","83","15","26","38","19","19","0","0","17","68","31","32","48","18","660","529","55.51"
"412","Alex DeBrincat","DET","R","60","1060.4166666667","29","24","16","8","53","68.83","169","17.16","21.94","316","248","177","72","5","31","14","7","7","0","0","22","49","22","22","70","24","23","24","48.94"
"55","John Tavares","TOR","C","54","996.71666666667","24","28","16","12","52","62.65","146","16.44","22.11","248","205","180","103","7","20","32","16","16","0","0","11","52","19","61","52","32","545","404","57.43"
"110","Mikael Granlund","DAL, S.J","C","61","1238.8666666667","15","37","29","8","52","71.23","138","10.87","12.85","261","193","106","44","9","29","24","12","12","0","0","13","64","14","43","76","46","333","355","48.40"
"158","Rickard Rakell","PIT","R","62","1199.25","28","24","11","13","52","62.65","163","17.18","22.71","319","246","187","100","9","28","10","5","5","0","0","8","58","14","99","96","66","12","11","52.17"
"387","Kirill Kaprizov","MIN","L","37","829.3","23","29","20","9","52","81.25","128","17.97","18.12","271","179","142","54","12","23","14","7","7","0","0","10","52","10","12","46","15","0","2","0.00"
"405","Auston Matthews","TOR","C","46","949.23333333333","22","30","19","11","52","74.29","185","11.89","26.18","344","275","214","85","12","34","20","9","9","0","0","14","45","20","26","24","59","490","378","56.45"
"437","Pierre-Luc Dubois","WSH","L","61","1055.7166666667","15","37","26","11","52","62.65","104","14.42","18.4","221","171","150","79","10","22","44","22","22","0","0","20","45","9","52","61","48","439","443","49.77"
"442","Tage Thompson","BUF","C","53","988.46666666667","29","23","17","6","52","67.53","167","17.37","16.01","354","255","151","54","9","29","17","7","6","1","0","8","33","15","50","53","25","230","314","42.28"
"629","Matt Boldy","MIN","L","61","1218.3","21","31","16","15","52","67.53","215","9.77","23.93","421","334","199","81","9","37","39","18","17","1","0","13","56","35","31","79","44","45","57","44.12"
"118","Mark Stone","VGK","R","46","908.23333333333","16","35","22","13","51","65.38","94","17.02","14.17","162","134","109","62","4","12","8","4","4","0","0","7","53","30","25","32","23","4","6","40.00"
"279","Nikolaj Ehlers","WPG","L","52","826.43333333333","18","33","25","8","51","70.83","131","13.74","14.33","254","196","120","45","8","24","8","4","4","0","0","16","40","12","29","53","24","5","11","31.25"
"660","Aliaksei Protas","WSH","C","61","1006.55","23","28","18","10","51","76.12","116","19.83","16.42","205","179","126","58","9","13","18","9","9","0","0","15","47","18","13","72","29","6","16","27.27"
"685","Marco Rossi","MIN","C","61","1117.2333333333","21","30","17","13","51","69.86","102","20.59","15.52","198","155","136","76","3","26","24","12","12","0","0","16","42","14","42","49","28","349","388","47.35"
"292","Adrian Kempe","L.A","R","59","1150.3","26","24","16","8","50","68.49","175","14.86","19.51","365","266","154","61","5","35","26","13","13","0","0","13","55","11","68","37","27","8","10","44.44"
"492","Robert Thomas","STL","C","50","994.25","16","34","19","15","50","79.37","115","13.91","13","229","171","132","47","5","23","18","9","9","0","0","10","70","14","9","53","39","546","423","56.35"
"152","J.T. Miller","NYR, VAN","C","51","915.15","16","33","19","14","49","73.13","101","15.84","13.05","189","153","101","37","7","15","37","14","11","3","0","20","49","16","125","36","35","482","344","58.35"
"430","Jordan Kyrou","STL","C","62","1103.05","24","25","16","9","49","72.06","174","13.79","16.39","349","242","197","64","8","27","18","9","9","0","0","17","63","17","38","60","28","4","9","30.77"
"844","Connor Bedard","CHI","C","61","1237.1833333333","16","33","20","13","49","66.22","141","11.35","15.15","299","209","156","38","8","21","34","17","17","0","0","11","62","18","32","50","31","180","322","35.86"
"4","Alex Ovechkin","WSH","L","45","801.88333333333","31","17","9","8","48","65.75","171","18.13","20.06","347","241","133","46","12","19","14","7","7","0","0","1","34","12","86","18","10","0","1","0.00"
"8","Anze Kopitar","L.A","C","59","1134.7","14","34","20","14","48","69.57","78","17.95","11.78","159","116","91","50","4","15","2","1","1","0","0","5","46","25","26","34","48","652","498","56.70"
"179","Teuvo Teravainen","CHI","C","61","1027.2833333333","14","34","20","14","48","69.57","92","15.22","8.6","171","127","74","19","6","16","8","4","4","0","0","4","50","13","16","26","26","32","44","42.11"
"235","Shea Theodore","VGK","D","55","1212.4166666667","7","41","23","18","48","57.83","111","6.31","6.26","282","156","82","6","5","22","20","10","10","0","0","6","86","27","5","68","69","0","0","-"
"406","Adam Fox","NYR","D","58","1347.4666666667","5","43","27","16","48","56.47","100","5.00","9.26","263","155","97","18","11","24","28","14","14","0","0","10","57","30","33","67","83","0","0","-"
"554","Rasmus Dahlin","BUF","D","51","1242.5","10","38","21","17","48","59.26","133","7.52","7.93","308","190","100","19","10","32","38","19","19","0","0","18","74","25","68","108","75","0","0","-"
"805","Lane Hutson","MTL","D","61","1365.2833333333","4","44","18","26","48","57.83","70","5.71","4.62","216","122","70","13","5","15","32","16","16","0","0","12","80","41","32","93","87","0","0","-"
"12","Brad Marchand","BOS","L","61","1124.8","21","26","16","10","47","75.81","174","12.07","27.35","340","251","191","91","19","41","62","27","26","0","1","31","71","19","66","50","27","5","7","41.67"
"56","Victor Hedman","T.B","D","58","1358.75","9","38","20","18","47","50.00","137","6.57","10.29","344","221","97","16","14","26","24","12","12","0","0","6","88","21","30","56","100","0","0","-"
"177","Tom Wilson","WSH","R","60","1126.9666666667","27","20","11","9","47","52.81","136","19.85","24.03","278","217","168","94","9","21","59","24","21","3","0","29","58","16","172","58","53","4","12","25.00"
"256","Josh Morrissey","WPG","D","60","1445.8","8","39","15","24","47","48.96","129","6.20","6.53","314","196","66","7","5","21","22","11","11","0","0","11","59","27","33","74","86","0","0","-"
"285","Alex Tuch","BUF","R","59","1142.8666666667","23","24","9","15","47","66.20","144","15.97","22.74","291","231","167","81","14","31","31","14","13","1","0","6","52","33","52","39","87","62","83","42.76"
"287","Nick Schmaltz","UTA","C","61","1150.0666666667","12","35","19","16","47","56.63","131","9.16","16.09","266","188","170","66","4","26","8","4","4","0","0","12","72","22","10","42","32","122","137","47.10"
"353","Roope Hintz","DAL","C","56","946.05","24","23","17","6","47","72.31","128","18.75","19.09","221","177","156","83","8","23","18","9","9","0","0","13","56","15","33","58","35","304","249","54.97"
"483","Nico Hischier","N.J","C","56","1137.8833333333","25","22","16","6","47","58.02","149","16.78","24.21","261","205","190","100","15","28","16","7","7","0","0","26","39","19","29","70","52","750","602","55.47"
"519","Drake Batherson","OTT","R","60","1110.05","16","31","18","13","47","70.15","132","12.12","16.02","258","200","141","59","7","13","16","8","8","0","0","21","41","18","90","55","21","9","10","47.37"
"639","Connor McMichael","WSH","C","61","1047.2166666667","22","25","9","16","47","60.26","138","15.94","21.87","248","203","167","94","8","44","28","14","14","0","0","9","50","16","32","49","27","30","38","44.12"
"725","JJ Peterka","BUF","R","57","1029.95","17","30","14","16","47","55.29","129","13.18","14.74","294","207","131","43","12","20","24","8","7","0","1","11","58","14","27","57","7","2","4","33.33"
"800","Logan Cooley","UTA","C","54","957.03333333333","17","30","15","15","47","67.14","115","14.78","12.16","219","164","106","40","3","14","30","15","15","0","0","13","48","20","40","94","24","241","298","44.71"
"112","Bryan Rust","PIT","R","52","1019.5","21","25","18","7","46","68.66","131","16.03","19.51","238","199","155","91","6","32","16","8","8","0","0","8","42","13","50","45","42","8","4","66.67"
"160","Jonathan Marchessault","NSH","R","60","1095.6666666667","18","28","15","13","46","70.77","178","10.11","20","315","235","169","76","3","30","33","15","14","1","0","10","67","7","67","50","18","14","42","25.00"
"178","Tomas Hertl","VGK","C","60","1033.05","23","23","12","11","46","60.53","146","15.75","26.36","259","214","188","119","4","34","18","9","9","0","0","6","36","23","85","56","49","434","328","56.96"
"540","Brady Tkachuk","OTT","L","58","1083.2833333333","23","23","14","9","46","61.33","242","9.50","29.07","421","344","243","118","10","48","110","41","35","4","2","31","39","15","192","55","31","144","146","49.66"
"542","Evan Bouchard","EDM","D","60","1414.6666666667","10","36","7","29","46","45.54","177","5.65","10.1","410","244","135","14","11","34","22","11","11","0","0","18","105","34","27","72","85","0","0","-"
"683","Dylan Holloway","STL","L","62","1031.9833333333","20","26","13","13","46","71.88","145","13.79","14.81","276","197","139","57","10","24","10","5","5","0","0","8","59","32","133","75","39","59","80","42.45"
"691","Seth Jarvis","CAR","C","54","1048.5","23","23","15","8","46","62.16","140","16.43","22.41","275","219","173","88","13","21","12","6","6","0","0","14","47","23","77","107","40","41","78","34.45"
"40","Erik Karlsson","PIT","D","63","1466.8","8","37","14","23","45","48.39","154","5.19","7.54","409","231","107","11","13","44","18","9","9","0","0","7","111","32","20","86","77","0","0","-"
"298","Ryan Donato","CHI","C","59","910.53333333333","22","23","18","5","45","71.43","133","16.54","16.08","250","191","128","60","11","17","30","11","10","0","1","10","25","16","94","68","10","175","222","44.08"
"376","Anthony Cirelli","T.B","C","58","1096.75","20","25","12","13","45","58.44","119","16.81","21.62","211","173","146","81","12","22","20","9","9","0","0","15","47","16","20","66","53","475","475","50.00"
"388","Troy Terry","ANA","R","54","1025.3333333333","17","28","13","15","45","75.00","128","13.28","15.26","260","192","141","53","3","24","16","8","8","0","0","20","52","18","5","48","22","7","18","28.00"
"60","Nazem Kadri","CGY","C","60","1137.4833333333","21","23","12","11","44","83.02","202","10.40","20.51","382","275","201","75","17","26","63","21","18","1","2","26","48","22","43","92","23","506","566","47.20"
"89","Jason Zucker","BUF","L","54","865.9","18","26","20","6","44","63.77","99","18.18","15.02","199","163","108","70","6","18","53","16","13","1","2","13","52","17","52","36","18","31","44","41.33"
"143","Jonathan Huberdeau","CGY","C, L","60","1145.2","22","22","19","3","44","66.67","113","19.47","15.65","194","147","125","63","13","12","30","15","15","0","0","22","68","18","39","49","49","8","20","28.57"
"146","Mika Zibanejad","NYR","C","61","1127.8166666667","13","31","22","9","44","67.69","136","9.56","16.93","281","222","135","50","16","20","20","10","10","0","0","13","59","24","24","33","41","437","400","52.21"
"227","Carter Verhaeghe","FLA","C","62","1123.4","16","28","16","12","44","55.70","187","8.56","21.85","375","272","214","85","8","33","36","18","18","0","0","11","64","19","75","89","23","10","23","30.30"
"290","Jared McCann","SEA","L","61","1058.1666666667","15","29","20","9","44","68.75","142","10.56","16.71","317","230","126","52","9","21","14","7","7","0","0","17","49","23","32","41","33","33","39","45.83"
"755","William Eklund","S.J","L","57","1115.2","12","32","21","11","44","62.86","101","11.88","15.91","233","174","129","59","7","19","22","7","6","0","1","14","63","13","37","61","36","9","20","31.03"
"760","Dylan Guenther","UTA","R","49","822.93333333333","22","22","12","10","44","67.69","134","16.42","14.19","308","222","147","29","8","21","20","9","9","0","0","4","31","13","32","45","31","7","10","41.18"
"855","Matvei Michkov","PHI","R","59","945.36666666667","19","25","14","11","44","73.33","134","14.18","16.22","240","186","113","53","5","25","38","15","14","0","1","15","54","11","21","53","19","19","22","46.34"
"857","Macklin Celebrini","S.J","C","50","988.4","18","26","14","12","44","80.00","168","10.71","15.81","325","250","170","45","4","32","22","11","11","0","0","16","79","19","25","51","39","350","385","47.62"
"551","Andrei Svechnikov","CAR","R","60","1057.55","18","25","15","10","43","58.11","161","11.18","23.84","337","247","176","86","15","35","43","20","19","1","0","21","84","17","125","70","15","1","3","25.00"
"79","Anders Lee","NYI","L","60","1038.9","23","19","12","7","42","66.67","171","13.45","28.33","283","243","208","139","5","37","20","10","10","0","0","8","49","8","92","70","26","7","11","38.89"
"223","Pavel Buchnevich","STL","L","60","1134.7166666667","13","29","17","12","42","59.15","115","11.30","17.04","233","175","143","63","14","24","21","9","8","1","0","7","54","13","36","38","26","81","139","36.82"
"253","Bo Horvat","NYI","C","59","1183.0833333333","20","22","14","8","42","62.69","173","11.56","20.37","324","258","185","71","12","31","8","4","4","0","0","9","63","14","84","45","29","550","369","59.85"
"751","Kent Johnson","CBJ","C","46","799.5","20","22","11","11","42","67.74","89","22.47","9.16","171","122","77","27","5","12","10","5","5","0","0","2","44","16","1","31","18","0","4","0.00"
"5","Evgeni Malkin","PIT","C","53","946.46666666667","12","29","17","12","41","70.69","90","13.33","13.68","192","127","106","52","1","23","28","13","13","0","0","20","58","19","26","52","42","187","255","42.31"
"94","Brock Nelson","NYI","C","60","1160.3833333333","19","22","13","9","41","67.21","161","11.80","18.5","288","229","185","74","9","29","14","7","7","0","0","16","33","28","24","60","34","482","432","52.74"
"187","Chandler Stephenson","SEA","C","60","1178.3833333333","10","31","14","17","41","59.42","59","16.95","7.49","110","87","63","27","7","6","22","10","10","0","0","12","41","22","26","53","36","598","549","52.14"
"250","Sean Monahan","CBJ","C","41","797.3","14","27","17","10","41","59.42","106","13.21","15.9","179","146","112","60","8","24","14","7","7","0","0","5","41","8","18","23","24","456","430","51.47"
"767","Matthew Knies","TOR","L","57","1051.1333333333","24","17","11","6","41","57.75","100","24.00","16.65","178","147","134","92","8","14","26","13","13","0","0","14","35","9","130","63","31","0","1","0.00"
"53","Kyle Palmieri","NYI","C","60","1091.9666666667","19","21","11","10","40","70.18","115","16.52","14.83","247","188","137","48","5","22","14","7","7","0","0","11","30","15","38","83","28","11","17","39.29"
